ID;Datum;Temperatur;Luftfeuchtigkeit;Arbeiter;Sensor1;Sensor2;Sensor3;Sensor4;Sensor5;Sensor6;Sensor7;Sensor8;Sensor9;Sensor10;Sensor11;Sensor12;Sensor13;Sensor14;Sensor15;Zeit seit letztem Ausfall (Stunden);Ausfall
1;01.01.2020 00:00;67;82;Arbeiter1;291;1;1;1041;846;334;706;1086;256;1295;766;968;1185;1355;1842;90;Nein
2;01.01.2020 01:00;68;77;Arbeiter1;1180;1;1;1915;1194;637;1093;524;919;245;403;723;1446;719;748;91;Nein
3;01.01.2020 02:00;64;76;Arbeiter1;1406;1;1;511;1577;1121;1948;1882;1301;273;1927;1123;717;1518;1689;92;Nein
4;01.01.2020 03:00;63;80;Arbeiter1;550;1;1;1754;1834;1413;1151;945;1312;1494;1755;1434;502;1336;711;93;Nein
5;01.01.2020 04:00;65;81;Arbeiter1;1928;1;2;1326;1082;233;1441;1736;1033;1549;802;1819;1616;1507;507;94;Nein
6;01.01.2020 05:00;67;84;Arbeiter1;398;1;2;1901;1801;1153;1085;1547;2005;477;1217;1632;1324;1854;1739;95;Nein
7;01.01.2020 06:00;67;83;Arbeiter1;847;0;2;1849;1141;1609;982;1159;672;1128;663;1114;1838;290;1192;96;Nein
8;01.01.2020 07:00;67;76;Arbeiter1;1021;2;1;185;170;952;1183;1329;427;1638;850;379;1529;755;844;97;Nein
9;01.01.2020 08:00;65;80;Arbeiter3;1731;2;0;1424;1176;1223;621;647;369;239;1196;1944;1583;1630;237;98;Nein
10;01.01.2020 09:00;63;80;Arbeiter3;415;0;0;1008;1086;1759;1946;1814;1754;1442;341;1097;1819;472;491;99;Nein
11;01.01.2020 10:00;61;83;Arbeiter3;525;2;2;603;1630;1740;583;646;319;933;1891;1371;1904;1586;1102;100;Nein
12;01.01.2020 11:00;62;81;Arbeiter3;1719;3;1;880;575;1722;952;890;669;782;1720;641;1620;1046;1759;101;Nein
13;01.01.2020 12:00;62;76;Arbeiter3;1116;0;0;588;166;1233;1362;322;1176;1669;1197;182;1641;1033;1427;102;Nein
14;01.01.2020 13:00;60;82;Arbeiter3;282;1;1;1406;1727;945;1631;714;1072;1051;1857;559;1309;1668;1453;103;Nein
15;01.01.2020 14:00;61;79;Arbeiter3;637;3;0;821;511;373;951;1151;1200;493;770;1781;1437;1978;1911;104;Nein
16;01.01.2020 15:00;64;77;Arbeiter3;1831;0;2;1277;1622;662;688;1522;672;627;1545;1616;832;1127;1597;105;Nein
17;01.01.2020 16:00;60;80;Arbeiter5;1622;3;2;846;1462;1618;695;1401;408;1481;1735;1247;1425;903;172;106;Nein
18;01.01.2020 17:00;64;85;Arbeiter5;1885;3;2;503;569;1819;1002;1884;171;645;1917;1392;554;1704;467;107;Nein
19;01.01.2020 18:00;62;82;Arbeiter5;616;2;2;634;1722;335;1299;1733;1589;1862;1834;1341;1512;542;1449;108;Nein
20;01.01.2020 19:00;60;75;Arbeiter5;965;2;0;176;1456;746;1799;1428;1202;1862;1608;1253;226;1563;505;109;Nein
21;01.01.2020 20:00;60;82;Arbeiter5;1238;2;1;171;1595;1153;1465;1603;662;675;245;932;1420;1472;741;110;Nein
22;01.01.2020 21:00;67;78;Arbeiter5;1327;0;1;1248;1185;1918;1200;1972;600;1988;1017;745;1679;549;1256;111;Nein
23;01.01.2020 22:00;63;79;Arbeiter5;632;1;2;1037;543;181;1042;1580;1182;1364;193;1543;905;2009;1524;112;Nein
24;01.01.2020 23:00;66;85;Arbeiter5;861;3;1;1962;1391;1598;460;1185;392;1218;1080;270;1431;936;1311;113;Nein
25;02.01.2020 00:00;67;75;Arbeiter2;298;2;2;678;211;1474;1826;245;1198;1720;1824;355;457;1588;1301;114;Nein
26;02.01.2020 01:00;67;82;Arbeiter2;333;0;2;1407;1305;1639;1406;1539;1858;270;950;523;267;270;1303;115;Nein
27;02.01.2020 02:00;69;82;Arbeiter2;1196;2;1;343;471;628;518;618;232;298;548;1792;343;305;1465;116;Nein
28;02.01.2020 03:00;61;84;Arbeiter2;1909;1;2;1102;1846;889;272;1108;1604;1144;446;221;1292;779;1608;117;Nein
29;02.01.2020 04:00;63;79;Arbeiter2;1645;0;1;311;1314;1503;1336;869;844;1565;860;803;1568;1740;1380;118;Nein
30;02.01.2020 05:00;63;84;Arbeiter2;1004;3;2;1760;372;685;700;1478;1106;1561;588;382;909;1357;895;119;Nein
31;02.01.2020 06:00;63;78;Arbeiter2;275;0;1;164;424;1791;1251;271;1399;270;1145;1112;1855;950;279;120;Nein
32;02.01.2020 07:00;68;82;Arbeiter2;1767;2;1;908;996;334;1829;1622;378;1468;778;1396;1891;1486;1557;121;Nein
33;02.01.2020 08:00;67;76;Arbeiter4;1303;2;2;679;692;1720;1184;855;464;1002;518;949;1591;255;934;122;Nein
34;02.01.2020 09:00;65;81;Arbeiter4;1482;1;2;1275;1915;1456;748;1951;1439;1970;1713;253;863;299;1442;123;Nein
35;02.01.2020 10:00;68;83;Arbeiter4;1241;3;2;197;1418;282;398;909;1022;705;299;1111;1332;1185;477;124;Nein
36;02.01.2020 11:00;61;77;Arbeiter4;1863;1;1;1106;181;970;746;1485;265;289;1814;1854;1206;1361;1815;125;Nein
37;02.01.2020 12:00;68;76;Arbeiter4;1464;2;2;459;706;360;1307;1080;247;496;205;386;320;1042;1885;126;Nein
38;02.01.2020 13:00;68;82;Arbeiter4;397;0;0;1376;155;237;1073;1613;1755;175;840;458;1771;1607;406;127;Nein
39;02.01.2020 14:00;68;82;Arbeiter4;584;2;1;448;1354;1449;922;174;1899;1253;802;1421;1184;202;1142;128;Nein
40;02.01.2020 15:00;66;85;Arbeiter4;1852;2;2;333;1799;1065;1350;1099;248;1880;1128;341;1308;980;219;129;Nein
41;02.01.2020 16:00;68;85;Arbeiter6;1834;1;1;1050;732;931;945;1699;1555;801;921;1174;1325;734;883;130;Nein
42;02.01.2020 17:00;66;85;Arbeiter6;1701;0;0;1825;1864;650;1991;1635;1950;1980;1209;1069;948;1309;1335;131;Nein
43;02.01.2020 18:00;62;80;Arbeiter6;1233;0;2;1717;364;1549;330;1395;428;667;1593;535;424;416;500;132;Nein
44;02.01.2020 19:00;62;79;Arbeiter6;312;2;1;1405;860;167;1213;1008;1529;1370;1593;1942;1836;1807;1891;133;Nein
45;02.01.2020 20:00;65;81;Arbeiter6;1965;2;0;796;1539;508;396;1991;1804;761;1079;850;1765;182;1561;134;Nein
46;02.01.2020 21:00;65;83;Arbeiter6;238;2;2;993;1349;491;1651;1745;1161;768;684;1044;1233;776;997;135;Nein
47;02.01.2020 22:00;68;75;Arbeiter6;795;0;2;919;1789;1893;1664;287;1025;1665;1180;1772;157;1991;592;136;Nein
48;02.01.2020 23:00;63;81;Arbeiter6;731;2;2;755;817;1936;262;785;876;745;1503;333;426;772;573;137;Nein
49;03.01.2020 00:00;60;81;Arbeiter7;467;1;1;1627;1747;1505;631;884;1023;1195;224;1928;1923;1169;1416;138;Nein
50;03.01.2020 01:00;63;76;Arbeiter7;1067;2;0;925;1039;1604;1990;626;2008;1666;1144;384;1266;1678;398;139;Nein
51;03.01.2020 02:00;63;85;Arbeiter7;1868;3;0;684;1784;1851;1165;1980;301;996;738;1659;204;1054;1369;140;Nein
52;03.01.2020 03:00;60;80;Arbeiter7;1024;0;1;1175;1676;630;589;1186;1934;1955;1960;456;1825;1320;1974;141;Nein
53;03.01.2020 04:00;60;79;Arbeiter7;1877;0;2;433;1801;442;772;1144;1808;855;468;1905;1482;731;748;142;Nein
54;03.01.2020 05:00;68;76;Arbeiter7;981;0;0;1337;1495;1134;1053;1488;541;508;1661;1366;560;1529;238;143;Nein
55;03.01.2020 06:00;62;85;Arbeiter7;359;1;0;643;1423;1616;377;967;582;652;1450;491;1687;997;891;144;Nein
56;03.01.2020 07:00;63;80;Arbeiter7;527;3;2;1119;1356;781;163;159;716;1724;1039;322;247;1171;782;145;Nein
57;03.01.2020 08:00;68;76;Arbeiter2;650;1;2;892;1989;161;165;1867;496;1732;1795;813;1433;1764;1453;146;Nein
58;03.01.2020 09:00;65;84;Arbeiter2;1195;3;1;1766;1240;1894;1404;219;604;1108;1449;1605;674;1120;239;147;Nein
59;03.01.2020 10:00;62;77;Arbeiter2;597;3;2;974;1428;984;236;1966;1516;2002;1355;1874;1706;272;1710;148;Nein
60;03.01.2020 11:00;62;82;Arbeiter2;1725;1;1;1719;333;1273;817;866;1439;626;1046;418;504;389;1728;149;Nein
61;03.01.2020 12:00;64;110;Arbeiter2;1311;2;1;1179;1001;277;1679;1266;1236;527;987;1296;678;1234;1850;150;Nein
62;03.01.2020 13:00;63;85;Arbeiter2;1602;2;0;167;428;1249;1410;910;400;1129;1151;1725;163;954;1392;151;Nein
63;03.01.2020 14:00;66;79;Arbeiter2;945;2;0;622;1753;582;217;278;1222;781;2011;1804;156;1734;187;152;Nein
64;03.01.2020 15:00;68;84;Arbeiter2;1631;2;0;271;1943;634;1068;616;495;649;781;1862;754;1466;1970;153;Nein
65;03.01.2020 16:00;63;84;Arbeiter8;199;2;1;825;705;1254;1478;929;1375;1038;1890;1168;1881;1479;1146;154;Nein
66;03.01.2020 17:00;62;80;Arbeiter8;705;0;1;1727;1427;1838;1513;922;384;1591;845;1293;1349;309;926;155;Nein
67;03.01.2020 18:00;67;77;Arbeiter8;287;1;1;1486;808;1288;1046;1440;1406;1597;1146;1773;1618;953;1926;156;Nein
68;03.01.2020 19:00;66;83;Arbeiter8;1651;0;1;183;843;1755;374;1032;223;1867;1682;481;913;325;567;157;Nein
69;03.01.2020 20:00;66;85;Arbeiter8;1983;0;0;988;1322;311;1317;1342;1154;609;1748;238;1059;1376;1540;158;Nein
